player_id,player_name,old_team_id,old_team_name,leave_date,new_team_name
p199667,Timothe Cognat,t143,Lyon,2017-01-09,
p185353,Eirik Haugan,t144,Marseille,2017-04-04,
p20468,Lass Diarra,t144,Marseille,2017-02-14,Paris Saint-Germain
p221455,Julien Da Costa,t144,Marseille,2017-02-01,Niort
p86140,Romain Alessandrini,t144,Marseille,2017-01-30,LA Galaxy
p168566,Georges-Kévin Nkoudou,t144,Marseille,2016-08-31,Tottenham Hotspur
p240286,Moussa Seydi,t145,Metz,2017-01-01,Fola Esch
p119704,Fadil Sido,t145,Metz,2016-09-27,
p230178,Popoola Saliu,t145,Metz,2016-09-19,
p115084,Kwame Nsor,t145,Metz,2016-08-31,União da Madeira
p161039,Fares Bahlouli,t146,Monaco,2017-01-31,Lille
p168435,Marcel Tisserand,t146,Monaco,2016-08-31,FC Ingolstadt 04
p18693,Vágner Love,t146,Monaco,2016-08-31,Alanyaspor
p166324,Ivan Cavaleiro,t146,Monaco,2016-08-31,Wolverhampton Wanderers
p106884,Nicolas Saint-Ruf,t147,Montpellier,2017-01-24,Bastia
p122775,Morgan Sanson,t147,Montpellier,2017-01-17,Marseille
p18679,Anthony Vanden Borre,t147,Montpellier,2017-01-10,
p93835,Dylan Gissi,t147,Montpellier,2016-09-12,Rosario Central
p44485,Jamel Saihi,t147,Montpellier,2016-08-31,Angers
p171101,Clément Lenglet,t148,Nancy,2017-01-04,Sevilla
p175598,Romain Bauchet,t148,Nancy,2016-08-26,
p148616,Fernando Aristeguieta,t430,Nantes,2017-01-31,CD Nacional
p76507,Nicolaj Thomsen,t430,Nantes,2017-01-12,FC København
p16106,Lorik Cana,t430,Nantes,2016-08-30,
p146603,Julien Vercauteren,t1395,Nice,2017-02-17,RNK Split
p244563,Joakim Balmy,t1395,Nice,2017-02-01,Telstar
p244561,William Suaut,t1395,Nice,2017-02-01,
p26896,Mathieu Bodmer,t1395,Nice,2017-01-09,Guingamp
p115363,Lucas Rougeaux,t1395,Nice,2016-08-31,KV Kortrijk
p56842,Kevin Gomis,t1395,Nice,2016-08-19,Dundee
p129497,Hervin Ongenda,t149,Paris Saint-Germain,2017-01-24,PEC Zwolle
p225897,Fode Ballo-Toure,t149,Paris Saint-Germain,2017-01-09,Lille
p41270,David Luiz,t149,Paris Saint-Germain,2016-08-31,Chelsea
p80710,Benjamin Stambouli,t149,Paris Saint-Germain,2016-08-26,FC Schalke 04
p49957,Kamil Grosicki,t150,Rennes,2017-01-31,Hull City
p55250,Christian Brüls,t150,Rennes,2017-01-31,KAS Eupen
p54685,Mouhamadou Habib Habibou,t150,Rennes,2017-01-31,Lens
p111516,Pedro Henrique,t150,Rennes,2017-01-30,PAOK Salonika
p90126,Paul-Georges Ntep,t150,Rennes,2017-01-09,VfL Wolfsburg
p107098,Paul Nardi,t150,Rennes,2016-12-31,Cercle Brugge
p141017,Steven Moreira,t150,Rennes,2016-08-30,Lorient
p40832,Anthony Mounier,t152,St Etienne,2017-01-30,Atalanta
p244204,Benjamin Aulagnier,t152,St Etienne,2017-01-09,
p229921,Clement Cabaton,t152,St Etienne,2017-01-09,
p55134,Yohan Mollo,t152,St Etienne,2016-08-31,Krylia Sovetov Samara
p243743,Quentin Depehi,t427,Toulouse,2017-01-09,
p199669,Maxime Pelican,t427,Toulouse,2017-01-09,France U20
